LineId;NormalizedAngle;EntryPointX;EntryPointY;EntryAngle;ConfidenceScore;AmbiguityProb;NeedsReview;RuleApplied
506;90;-45533.1016;202148.383;90;0.9999257326126099;0.7779771089553833;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
507;90;-45533.1016;221621.6986;90;0.9999291896820068;0.9185739159584045;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
508;90;-45533.1016;239404.4438;90;0.9998829364776611;0.6822127103805542;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
509;90;-45533.1016;251150.4316;90;0.3536689281463623;0.9911053776741028;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
510;90;-43609.1047;161399.8595;270;0.9999998807907104;0.5842666029930115;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
511;90;-43609.1047;169219.9593;90;0.999992847442627;0.3766848146915436;False;"EntryScorer; BaseModel"
512;90;-43609.1047;174669.9593;270;1.0;0.37665343284606934;False;"EntryScorer; BaseModel"
513;90;-43609.1047;185538.053;90;0.9999974966049194;0.37665513157844543;False;"EntryScorer; BaseModel"
514;90;-43609.1047;190988.053;270;1.0;0.3766535222530365;False;"EntryScorer; BaseModel"
515;90;-43609.1047;202148.383;90;0.9999978542327881;0.37665456533432007;False;"EntryScorer; BaseModel"
516;90;-43609.1047;207598.383;270;1.0;0.37665295600891113;False;"EntryScorer; BaseModel"
517;90;-43609.1047;221621.6986;90;0.9999990463256836;0.37665319442749023;False;"EntryScorer; BaseModel"
518;90;-43609.1047;227071.6986;270;1.0;0.37665295600891113;False;"EntryScorer; BaseModel"
519;90;-43609.1047;239404.4438;90;0.9999983310699463;0.3766535222530365;False;"EntryScorer; BaseModel"
520;90;-43609.1047;244854.4438;270;0.9986485838890076;0.9556533098220825;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
521;90;-43609.1047;251150.4316;90;0.47870945930480957;0.9923250675201416;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
522;90;-41685.1077;161399.8595;270;0.9999998807907104;0.5842690467834473;True;"EntryScorer; BaseModel; AMBIGUOUS(review)"
